overall,reviewText
5,The media could not be loaded.Same as shown in picture with good quality and functioning smoothly.. Thanks Amazon 👍Read more
5,"Perfectly working for my panasonic 1.5 ton inverter AC 2020 model. Great build quality ,I would say even better than original and not so expensive as wellEditing after couple of weeks of use, all functions ok except SMART function , the panasonic AC not going in SE mode by the function button provided.Read more"
4,"All buttons are working except SMART, hence the wifi mode isn't starting up. Build quality is good.Read more"
5,It works perfectlyRead more
1,Did not work. The piece was faulty with only the power on working but it could not power off and none of the other buttons or the screen functioned.Read more
5,"Very good remote replacement for Panasonic AC and works all functions of the AC. Although the remote price is little high and has no backlight as same as the original remote, all it matters is that it works greatRead more"
5,Quality quality value for money functionality weightRead more
4,"Product is good, but screen lighting should be there, as a original remote ....  We can not use this remote at night ...Read more"
5,GoodRead more
5,The remote is fantastic. The feather-touch keys allows seamless operation. The sensor is strong and connects the AC device instantly. A mind blowing experience. Paisa vasool - value for money.Read more
5,Very good product with lot of good features. Cooling is perfect and the operation is soundless. Value for moneyRead more
4,"The AC is good, no complaints till date. Cools very well, makes very little sound when starting and then almost no sound a few minutes later. It goes completely silent on sleep mode. All the different modes worl really well. I love the VIRAAT mode in summers, cools the room really fast so it's a really good AC.One warning though.. Be very careful with the installation guys, the copper piping is their weakness. It's very expensive so they try to scam you on it. I remember seeing them removing it from the box of the AC but then later they charged me for it saying they used their own piping and it didn't come in the box so had to pay extra for it, when i tried to claim it back from amazon they told me that the installation agency that they sent charged me more than their rate card and so ended up losing money on it as I didn'tgwt the entire refund. Installation isn't covered as part of the purchase so they charge you quite a bit on it and then they charged me extra for some taping too which was also supposed to be part of the box. So i would suggest all those buying an AC, open the box before they come to install it and take pictures of all the components of the box to avoid getting ripped off.Read more"
5,Just received the Product and installation was smooth. So far the experience is good. Will post an updated review after few monthsRead more
1,"I am a loyal LG Customer and never faced any problem with their product. Their customer service has also been excellent throughout all these years. But this is the first time that I have faced an issue of manufacturing defect with LG AC. The AC was installed by the rookie technicians who did not check any leakage in the AC, perhaps assuming the brand reputation. Later, when I switched on the AC, it did not give any cooling. When I contacted customer care, the technicians visited and they checked that the gas had leaked. They checked the indoor and outdoor unit and even filled it with nitrogen gas to check for leakage. But as there was no leakage, they put new gas went away. Later, again the gas got leaked in three days. After that, today, again after raising the complaint, a specialist technician came and he saw that the cooling coil of the AC was damaged and the gas was leaking from that part. Earlier, all the technicians kept blaming our internal pipes at home for the leaks.This technician told me that these 2023 models are reporting this issue of cooling coil leakages since the last two months. Fortunately, the product is under warranty and it would be replaced free of cost, otherwise since LG has started outsourcing the manufacturing of their products to local manufacturers, there are problems in the products.In case you have also purchased any of the 2023 models, irrespective of features and weight, and you face a similar issue, tell the technician to check the cooling coil because these models are reporting this problem. I had to write this in review so that any buyer who is facing this issue would know the real issue behind the leakage.UPDATE - LG recommended replacement of the product due to multiple leakages and Amazon turned it into a nightmare for me. It is not giving me the complete installation charges and even telling me that it can pay a small share of it only as an Amazon Pay GiftCard. Please do not buy any electronic product from Amazon because they will make it a nightmare for you. Buy from the local dealer. I have complained against Amazon to the National Consumer Helpline (INGRAMS). If you are also a victim of Amazon's thuggery, then you can complaint and pursue the matter forward.Read more"
5,Got the installed 2 days back smooth installation..As of now good performance..will review back after using for 1 monthRead more
5,"Quick cooling, good air throw, and a 3500 cooling capacity. It is super quiet as well. The installation was professional; they performed a vacuum. The installation charge was 1400 rs without a stand. The new model remote has all the buttons you need. The indoor temperature shows on the remote, and the remote has a battery indication. It comes with all the necessary items, such as a long power cord and copper pipe.Read more"
4,"I was skeptical at first as the price is higher compared to other brands, but post installation this AC is working seamless. Electricity bill is also very less than I assumed, due to it's power saving features.Installation cost was around 2800 including the all costs like labour, additional copper cable of 2m, AC stand, though it may vary from distributor to distributor.Overall, high satisfied with the purchase, though I would appreciate the remote to have some backlight or even LED to see the buttons in the dark. One star reduced due to lack of backlight in remote. Everything else = Perfect.I am writing this review post usage of 3 months.Read more"
5,"Fast cooling, powerful, energy efficient, multiple swing options, silent operation.Read more"
5,Awesome Product !!Read more
1,Poor cooling capacityNo distace between Indore unit to plug but I brought one mtr wire very short wire provided even no batteries in remote control. Without batteries how technician give demo.Installation 7 to 10 daysWast of money productRead more
4,"Cooling is good Nice flow of air, but don't buy this from Amazon they can't provide you installation on time even after paid service you purchase, After service ( installation) will not do as per schedule seller and service provider are different.Read more"
5,"The media could not be loaded.Good , value for money and appearance good,Read more"
1,It’s not working parts was missed it’s indoor motor was not working…worest productRead more
2,"Less features and moderate, installation need to improveRead more"
3,Received product is damageRead more
4,The ac works well and delivers cooling. Timer function seems to have some issue as it is not turning off after the time.Read more
5,"It’s a great product. The installation was completed smoothly by the technicians. It’s affordable and perfect for a 10×10 bedroom, providing a fully cool and comfortable environment.”Read more"
1,"No copper pipe cost 3580.AC cost 24900 installation 1415  urban company charges 799,  stand 1050 available in market for 450 if we provide then charges 200 additional, no pipe and cable required which were pre installed still just to make weld c9nnection 500 extra. This brand is like indigo. So 6500 for work done by market at 1300Read more"
